Image_Name,Status,Normal_%,Hentai_%,Porn_%,Sexy_%,Anime_%,is_NSFW
Anime.jpg,OK,0.2,0.18,0.01,0.13,99.49,False
bikini.jpg,OK,0.04,0.05,0.03,99.87,0.01,False
girl-3641895_1280.jpg,OK,98.77,0.03,0.03,0.23,0.94,False
GuysMuscle.jpg,OK,0.34,0.3,1.81,97.51,0.04,False
kiss.webp,OK,99.53,0.03,0.09,0.22,0.13,False
kiss2.webp,OK,99.57,0.01,0.22,0.16,0.04,False
lovescence.jpg,OK,0.75,0.16,98.75,0.33,0.02,True
lovescence2.jpg,OK,2.9,0.11,95.59,1.37,0.02,True
lovescencemormal.jpg,OK,98.53,0.06,0.99,0.32,0.1,False
lovescencenipple.jpg,OK,0.13,0.2,99.17,0.48,0.02,True
lovescencenude.jpg,OK,0.12,0.11,84.24,15.51,0.02,True
nipple-768x768.jpeg,OK,0.06,0.11,99.57,0.25,0.0,True
nipplemen.webp,OK,1.2,0.52,90.95,7.29,0.04,True
Nude.jpg,OK,0.18,0.29,99.28,0.25,0.01,True
original.jpg,OK,0.27,0.03,0.06,99.62,0.03,False
porn.jpg,OK,0.14,0.22,97.2,2.43,0.01,True
Sexy.jpg,OK,5.38,1.39,0.18,92.17,0.87,False
sexy2.jpg,OK,0.18,0.04,0.1,99.66,0.02,False
